source,parent,name,actor,verb,spend,action,mayOrCan
ancestries,Drakona,Scales,you,would take Severe damage,mark a Stress,mark 1 fewer Hit Points,can
ancestries,Faun,Kick,you,succeed on an attack against a target within Melee range,mark a Stress,"kick yourself off them, dealing an extra 2d6 damage and knocking back either yourself or the target to Very Close range",can
ancestries,Firbolg,Charge,you,succeed on an Agility Roll to move from Far or Very Far range into Melee range with one or more targets,mark a Stress,deal 1d12 physical damage to all targets within Melee range,can
ancestries,Human,Adaptability,you,fail a roll that utilized one of your Experiences,mark a Stress,reroll,can
ancestries,Infernis,Fearless,you,roll with Fear,mark 2 Stress,change it into a roll with Hope instead,can
ancestries,Katari,Feline Instincts,you,make an Agility Roll,spend 2 Hope,reroll your Hope Die,can
ancestries,Orc,Tusks,you,succeed on an attack against a target within Melee range,spend a Hope,"gore the target with your tusks, dealing an extra 1d6 damage",can
communities,Seaborne,Know the Tide,you,"roll with Fear, place a token on your community card. You can hold a number of tokens equal to your level. Before you make an action roll",spend any number of these tokens,gain a +1 bonus to the roll for each token spent,can
classes,Ranger,Ranger's Focus,you,"deal damage to them, they must mark a Stress. - When you fail an attack against them",end your Ranger's Focus feature,reroll your Duality Dice,can
subclasses,Wordsmith,Eloquent,you,encourage an ally,do one of the following: - Allow them,find a mundane object or tool they need,can
subclasses,Warden of the Elements,Elemental Dominion,you,"would mark Hit Points, roll a d6 per Hit Point marked. For each result of 6, reduce the number of Hit Points you mark by 1. - _Water:_ When an attack against you succeeds",mark a Stress,make the attacker temporarily _Vulnerable_,can
subclasses,Warden of the Elements,Elemental Aura,an adversary,"marks 1 or more Hit Points, they must also mark a Stress. - _Earth:_ Your allies gain a +1 bonus to Strength. - _Water:_ When an adversary deals damage to you",mark a Stress,move them anywhere within Very Close range of where they are,can
subclasses,Warden of Renewal,Defender,you're,in Beastform and an ally within Close range marks 2 or more Hit Points,mark a Stress,reduce the number of Hit Points they mark by 1,can
subclasses,Stalwart,Iron Will,you,take physical damage,mark an additional Armor Slot,reduce the severity,can
subclasses,Stalwart,Loyal Protector,an ally within Close range,has 2 or fewer Hit Points and would take damage,mark a Stress,sprint to their side and take the damage instead,can
subclasses,Stalwart,Partners-in-Arms,an ally within Very Close range,takes damage,mark an Armor Slot,reduce the severity by one threshold,can
subclasses,Vengeance,Revenge,an adversary within Melee range,succeeds on an attack against you,mark 2 Stress,force the attacker to mark a Hit Point,can
subclasses,Wayfinder,Ruthless Predator,you,make a damage roll,mark a Stress,gain a +1 bonus to your Proficiency,can
subclasses,Wayfinder,Path Forward,you're,traveling to a place you've previously visited or you carry an object that has been at the location before,"identify the shortest, most direct path",your destination,can
subclasses,Nightwalker,Shadow Stepper,you,move into an area of darkness or a shadow cast by another creature or object,mark a Stress,disappear from where you are and reappear inside another shadow within Far range,can
subclasses,Elemental Origin,Natural Evasion,an,attack roll against you succeeds,mark a Stress and describe how you use your element,defend you,can
subclasses,Call of the Slayer,Slayer,you,make an attack roll or damage roll,"spend any number of these Slayer Dice, rolling them and adding their result",the roll,can
subclasses,Call of the Slayer,Weapon Specialist,you,succeed on an attack,spend a Hope,add one of the damage dice from your secondary weapon to the damage roll,can
subclasses,School of War,Thrive in Chaos,you,succeed on an attack,mark a Stress after rolling damage,force the target to mark an additional Hit Point,can
weapons,Rapier,Quick,you,make an attack,mark a Stress,target another creature within range,can
weapons,Improved Rapier,Quick,you,make an attack,mark a Stress,target another creature within range,can
weapons,Bladed Whip,Quick,you,make an attack,mark a Stress,target another creature within range,can
weapons,Advanced Rapier,Quick,you,make an attack,mark a Stress,target another creature within range,can
weapons,Legendary Rapier,Quick,you,make an attack,mark a Stress,target another creature within range,can
weapons,Dual-Ended Sword,Quick,you,make an attack,mark a Stress,target another creature within range,can
weapons,Buckler,Deflecting,you,are attacked,mark an Armor Slot,gain a bonus to your Evasion equal to your available Armor Score against the attack,can
weapons,Knuckle Claws,Doubled Up,you,make an attack with your primary weapon,deal damage,another target within Melee range,can
armor,Runetan Floating Armor,Shifting,you,are targeted for an attack,mark an Armor Slot,give the attack roll against you disadvantage,can
adversaries,Giant Mosquitoes,Bloodsucker - Reaction,the Mosquitoes' attack,causes a target to mark HP,mark a Stress,force the target to mark an additional HP,can
adversaries,Harrier,Fall Back - Reaction,a creature,moves into Melee range to make an attack,mark a Stress before the attack roll,move anywhere within Close range and make an attack against that creature,can
adversaries,Green Ooze,Split - Reaction,the Ooze,has 3 or more HP marked,spend a Fear,split them into two Tiny Green Oozes (with no marked HP or Stress),can
adversaries,Red Ooze,Split - Reaction,the Ooze,has 3 or more HP marked,spend a Fear,split them into two Tiny Red Oozes (with no marked HP or Stress),can
adversaries,Sylvan Soldier,Blend In - Reaction,the Soldier,makes a successful attack,mark a Stress,become _Hidden_ until the Soldier's next attack or a PC succeeds on an Instinct Roll (14) to find them,can
adversaries,Tangle Bramble,Drain and Multiply - Reaction,an attack from the Bramble,causes a target to mark HP and there are three or more Tangle Bramble Minions within Close range,combine the Minions into a Tangle Bramble Swarm Horde. The Horde's HP is equal,the number of Minions combined,can
adversaries,Brawny Zombie,Rip and Tear - Reaction,the Zombies,makes a successful standard attack,mark a Stress,temporarily _Restrain_ the target and force them to mark 2 Stress,can
adversaries,Zombie Pack,Overwhelm - Reaction,the,Zombies mark HP from an attack within Melee range,mark a Stress,make a standard attack against the attacker,can
adversaries,Master Assassin,The Subtle Blade - Reaction,the Assassin successfully,makes a standard attack against a _Vulnerable_ target,spend a Fear,deal Severe damage instead of their standard damage,can
adversaries,Courtesan,Searing Glance - Reaction,a PC within Close range,makes a Presence Roll,mark a Stress,cast a gaze toward the aftermath,can
adversaries,Elite Soldier,Vassal's Loyalty - Reaction,the Soldier,is within Very Close range of a knight or other noble who would take damage,mark a Stress,move into Melee range of them and take the damage instead,can
adversaries,Gorgon,Petrifying Gaze - Reaction,the Gorgon,takes damage from an attack within Close range,spend a Fear,force the attacker to make an Instinct Reaction Roll,can
adversaries,Secret-Keeper,Fallen Hounds - Reaction,the Secret-Keeper,marks 2 or more HP,mark a Stress,"summon a Demonic Hound Pack, which appears at Close range and is immediately spotlighted",can
adversaries,Shark,Blood in the Water - Reaction,a creature within Close range of the Shark,marks HP from another creature's attack,mark a Stress,"immediately spotlight the Shark, moving them into Melee range of the target and making a standard attack",can
adversaries,Spectral Captain,Hold Fast - Reaction,the Captain's Spectral allies,are forced to make a reaction roll,mark a Stress,give those allies a +2 bonus to the roll,can
adversaries,Spy,Fly on the Wall - Reaction,a PC or group,is discussing something sensitive,mark a Stress,"reveal that the Spy is present in the scene, observing them",can
adversaries,Adult Flickerfly,Uncanny Reflexes - Reaction,the Flickerfly,takes damage from an attack within Close range,mark a Stress,take half damage,can
adversaries,Demon of Despair,Your Friends Will Fail You - Reaction,a PC,fails with Fear,mark a Stress,cause all other PCs within Close range to lose a Hope,can
adversaries,Demon of Jealousy,Rivalry - Reaction,a creature within Close range,takes damage from a different adversary,mark a Stress,add a d4 to the damage roll,can
adversaries,Demon of Jealousy,What's Yours Is Mine - Reaction,a PC,takes Severe damage within Very Close range of the Demon,spend a Fear,cause the target to make a Finesse Reaction Roll,can
adversaries,Demon of Wrath,Retaliation - Reaction,the Demon,takes damage from an attack within Close range,mark a Stress,make a standard attack against the attacker,can
adversaries,Dire Bat,Guardian - Reaction,an allied Vampire,marks HP,mark a Stress,fly into Melee range of the attacker and make an attack with advantage against them,can
adversaries,Dryad,We Are All One - Reaction,an ally,dies within Close range,spend a Fear,clear 2 HP and 2 Stress as the fallen ally's life force is returned to the forest,can
